ID,Fattening_group.Pen,t (day),Wt (kg),FIt (kg day-1)
92,202004-93,24,48,1.538
92,202004-93,25,48.5,2.091
92,202004-93,26,49,1.849
92,202004-93,27,50.5,1.61
92,202004-93,28,51.75,2.384
92,202004-93,29,53,2.115
92,202004-93,30,53,1.556
92,202004-93,31,53.5,2.057
92,202004-93,32,55,1.986
92,202004-93,33,55.5,1.931
92,202004-93,34,57,2.48
92,202004-93,35,57.875,2.086
92,202004-93,36,59.5,2.216
92,202004-93,37,60,2.001
92,202004-93,38,61,1.957
92,202004-93,39,61.5,2.081
92,202004-93,40,63,2.114
92,202004-93,41,64.75,2.214
92,202004-93,42,66,1.894
92,202004-93,43,66.5,2.418
92,202004-93,44,68.5,2.189
92,202004-93,45,69,2.615
92,202004-93,46,70.5,2.436
92,202004-93,47,71.75,2.146
92,202004-93,48,72.5,1.776
92,202004-93,49,73.5,2.824
92,202004-93,50,74.5,1.916
92,202004-93,51,75,2.947
92,202004-93,52,74.5,2.36
92,202004-93,53,77.5,2.767
92,202004-93,54,79,3.014
92,202004-93,55,80,2.455
92,202004-93,56,81,2.9
92,202004-93,57,82,2.507
92,202004-93,58,83.25,2.781
92,202004-93,59,83.5,2.411
92,202004-93,60,85,2.519
92,202004-93,61,85.75,2.912
92,202004-93,62,87.25,2.864
92,202004-93,63,88,2.568
92,202004-93,64,89.75,2.805
92,202004-93,65,90.25,3.033
92,202004-93,66,90.5,2.758
92,202004-93,67,91.75,2.473
92,202004-93,68,93,2.896
92,202004-93,69,95.5,2.721
92,202004-93,70,95,2.832
92,202004-93,71,96,2.664
92,202004-93,72,97,2.024
92,202004-93,73,97.944,2.565
92,202004-93,74,98.89,2.544
92,202004-93,75,99.836,2.522
92,202004-93,76,100.5,2.546
92,202004-93,77,102,2.747
68,202007-117,1,39.55,1.392
68,202007-117,2,40.525,1.185
68,202007-117,3,41.25,0.923
68,202007-117,4,42.25,1.207
68,202007-117,5,43,1.675
68,202007-117,6,44.5,1.813
68,202007-117,7,46,1.788
68,202007-117,8,47,2.114
68,202007-117,9,47,1.671
68,202007-117,10,49,1.747
68,202007-117,11,48,1.543
68,202007-117,12,48.5,1.851
68,202007-117,13,49.5,2.014
68,202007-117,14,50,2.167
68,202007-117,15,51.25,1.939
68,202007-117,16,52.5,1.932
68,202007-117,17,54,2.134
68,202007-117,18,54.75,2.024
68,202007-117,19,55.5,2.125
68,202007-117,20,58,1.806
68,202007-117,21,58,0.849
68,202007-117,22,57.5,1.305
68,202007-117,23,57.5,2.868
68,202007-117,24,61,2.145
68,202007-117,25,63.25,2.001
68,202007-117,26,64.5,2.096
68,202007-117,27,65.5,1.951
68,202007-117,28,66,1.957
68,202007-117,29,67,2.153
68,202007-117,30,67,2.433
68,202007-117,31,69,2.108
68,202007-117,32,70,2.281
68,202007-117,33,70.5,2.537
68,202007-117,34,72,2.353
68,202007-117,35,72.5,2.594
68,202007-117,36,74.5,2.154
68,202007-117,37,75.5,2.651
68,202007-117,38,76.5,2.439
68,202007-117,39,77,2.53
68,202007-117,40,79,2.507
68,202007-117,41,80.5,2.58
68,202007-117,42,81.75,2.575
68,202007-117,43,81.5,2.786
68,202007-117,44,82.5,2.219
68,202007-117,45,83.75,3.202
68,202007-117,46,85.5,2.22
68,202007-117,47,86.25,2.823
68,202007-117,48,87.75,2.388
68,202007-117,49,88.75,2.37
68,202007-117,50,89,2.687
68,202007-117,51,91.5,2.878
68,202007-117,52,92.5,3.092
68,202007-117,53,93.592,2.745
68,202007-117,54,94.706,2.73
68,202007-117,55,95.819,2.715
68,202007-117,56,98.5,2.97
68,202007-117,57,98.5,2.697
68,202007-117,58,98.5,2.637
68,202007-117,59,100.75,2.314
68,202007-117,60,101,2.538
68,202007-117,61,99.5,1.963
68,202007-117,62,101.25,2.786
68,202007-117,63,102.25,2.396
68,202007-117,64,104.5,2.663
68,202007-117,65,105,2.605
68,202007-117,66,106.75,2.009
68,202007-117,67,106.994,2.222
68,202007-117,68,108,2.179
68,202007-117,69,108,2.707
68,202007-117,70,110.5,3.214
68,202007-117,71,111.5,2.896
13,202007-117,1,40.5,0.969
13,202007-117,2,41.5,1.539
13,202007-117,3,42,1.308
13,202007-117,4,42.5,1.332
13,202007-117,5,43.5,1.4
13,202007-117,6,44,1.874
13,202007-117,7,45.5,1.588
13,202007-117,8,46.5,1.402
13,202007-117,9,47.5,1.681
13,202007-117,10,48.5,1.575
13,202007-117,11,48.5,1.506
13,202007-117,12,48,1.582
13,202007-117,13,49,1.97
13,202007-117,14,49.5,1.69
13,202007-117,15,50.5,2.125
13,202007-117,16,51.5,1.734
13,202007-117,17,53.5,2.089
13,202007-117,18,54.5,1.974
13,202007-117,19,55.5,1.996
13,202007-117,20,56.5,1.847
13,202007-117,21,59,2.011
13,202007-117,22,60,2.222
13,202007-117,23,61,1.943
13,202007-117,24,62.75,2.402
13,202007-117,25,64,2.164
13,202007-117,26,65.25,1.991
13,202007-117,27,66,2.313
13,202007-117,28,66.5,2.185
13,202007-117,29,67.5,2.091
13,202007-117,30,68.25,2.192
13,202007-117,31,69.5,2.231
13,202007-117,32,70.25,2.635
13,202007-117,33,72,2.4
13,202007-117,34,73,2.362
13,202007-117,35,73,2.069
13,202007-117,36,74.75,2.053
13,202007-117,37,75,2.05
13,202007-117,38,76.5,2.458
13,202007-117,39,77.5,2.15
13,202007-117,40,79,2.407
13,202007-117,41,80.5,2.549
13,202007-117,42,80.75,2.259
13,202007-117,43,80,2.398
13,202007-117,44,82.5,2.65
13,202007-117,45,84,2.235
13,202007-117,46,85,2.543
13,202007-117,47,85.5,2.64
13,202007-117,48,86,2.016
13,202007-117,49,87.5,2.267
13,202007-117,50,88.5,2.426
13,202007-117,51,89.5,2.586
13,202007-117,52,90.25,2.124
13,202007-117,53,90.981,2.358
13,202007-117,54,91.875,2.368
13,202007-117,55,92.769,2.378
13,202007-117,56,93,2.513
13,202007-117,57,95,1.963
13,202007-117,58,95,2.924
13,202007-117,59,96.5,1.996
13,202007-117,60,97.75,2.76
13,202007-117,61,98.25,2.557
13,202007-117,62,99.25,2.341
13,202007-117,63,99.5,2.59
13,202007-117,64,101.75,2.373
13,202007-117,65,101.5,2.615
13,202007-117,66,104,1.462
13,202007-117,67,102,2.561
13,202007-117,68,106,2.551
13,202007-117,69,107.5,2.566
13,202007-117,70,108.5,2.747
13,202007-117,71,110.5,2.484
38,202007-117,1,36,1.032
38,202007-117,2,37.5,1.108
38,202007-117,3,38,1.247
38,202007-117,4,38,1.214
38,202007-117,5,38.5,1.727
38,202007-117,6,39.5,1.521
38,202007-117,7,41,1.836
38,202007-117,8,42,1.611
38,202007-117,9,43.5,1.704
38,202007-117,10,44.5,1.752
38,202007-117,11,43,1.546
38,202007-117,12,43.5,1.583
38,202007-117,13,44.5,1.601
38,202007-117,14,45,1.515
38,202007-117,15,45.5,1.759
38,202007-117,16,47,1.865
38,202007-117,17,48,1.779
38,202007-117,18,49.25,1.685
38,202007-117,19,50,1.853
38,202007-117,20,52,2.113
38,202007-117,21,53,1.592
38,202007-117,22,54,1.65
38,202007-117,23,55.25,1.744
38,202007-117,24,56.25,1.872
38,202007-117,25,57.625,1.863
38,202007-117,26,58.75,2.01
38,202007-117,27,59.375,1.79
38,202007-117,28,60.5,2.101
38,202007-117,29,61,2.059
38,202007-117,30,62.75,2.009
38,202007-117,31,63.5,2.116
38,202007-117,32,64,2.011
38,202007-117,33,65,2.166
38,202007-117,34,66.25,2.077
38,202007-117,35,66.75,2.063
38,202007-117,36,68,1.974
38,202007-117,37,68.5,1.786
38,202007-117,38,69.5,2.117
38,202007-117,39,70,2.114
38,202007-117,40,71.5,1.94
38,202007-117,41,72.5,1.992
38,202007-117,42,73,2.262
38,202007-117,43,73,2.194
38,202007-117,44,75,2.134
38,202007-117,45,76,2.359
38,202007-117,46,77,2.241
38,202007-117,47,77.5,2.135
38,202007-117,48,78.5,1.941
38,202007-117,49,79.5,1.857
38,202007-117,50,79.5,1.9
38,202007-117,51,81,2.126
38,202007-117,52,81.75,2.228
38,202007-117,53,82.897,2.136
38,202007-117,54,83.829,2.167
38,202007-117,55,84.762,2.199
38,202007-117,56,85.75,2.08
38,202007-117,57,87,2.5
38,202007-117,58,87.5,2.128
38,202007-117,59,88.5,2.481
38,202007-117,60,89.5,2.201
38,202007-117,61,90,2.266
38,202007-117,62,91,2.519
38,202007-117,63,91.5,2.053
38,202007-117,64,92.75,2.281
38,202007-117,65,93.5,2.517
38,202007-117,66,95,2.22
38,202007-117,67,96,1.805
38,202007-117,68,98,2.478
38,202007-117,69,100,2.406
38,202007-117,70,100,3.15
38,202007-117,71,100.5,2.665
85,202007-118,1,33.442,0.833
85,202007-118,2,34.25,0.894
85,202007-118,3,34.5,1.037
85,202007-118,4,36,1.377
85,202007-118,5,37,1.754
85,202007-118,6,37.5,1.396
85,202007-118,7,39,1.521
85,202007-118,8,39,1.518
85,202007-118,9,40,1.001
85,202007-118,10,40.5,1.211
85,202007-118,11,40.75,1.234
85,202007-118,12,41,1.569
85,202007-118,13,42.25,1.405
85,202007-118,14,43.5,1.654
85,202007-118,15,44.5,1.135
85,202007-118,16,45,1.422
85,202007-118,17,46,1.828
85,202007-118,18,47.5,1.396
85,202007-118,19,48,1.877
85,202007-118,20,49.5,1.507
85,202007-118,21,50,1.855
85,202007-118,22,49,1.839
85,202007-118,23,49,1.797
85,202007-118,24,50.5,1.691
85,202007-118,25,51.5,1.923
85,202007-118,26,52.75,1.908
85,202007-118,27,53,1.636
85,202007-118,28,54.25,2.147
85,202007-118,29,55.75,1.853
85,202007-118,30,57.5,2.076
85,202007-118,31,57,1.873
85,202007-118,32,57.5,1.821
